Ticker,Name,MarketCap,Sector,Industry
WDFC,WD-40 Company,2579013120,Basic Materials,Specialty Chemicals
CPRX,"Catalyst Pharmaceuticals, Inc.",2577554688,Healthcare,Biotechnology
FOLD,"Amicus Therapeutics, Inc.",2576880896,Healthcare,Biotechnology
XRAY,DENTSPLY SIRONA Inc.,2570349568,Healthcare,Medical Instruments & Supplies
INOD,Innodata Inc.,2569941504,Technology,Information Technology Services
BATRA,"Atlanta Braves Holdings, Inc. -",2568967168,Communication Services,Entertainment
ARQT,"Arcutis Biotherapeutics, Inc.",2568366848,Healthcare,Biotechnology
GTX,Garrett Motion Inc.,2565047808,Consumer Cyclical,Auto Parts
VNET,"VNET Group, Inc.",2563816704,Technology,Information Technology Services
BATRK,"Atlanta Braves Holdings, Inc. -",2552758272,Communication Services,Entertainment
DIOD,Diodes Incorporated,2542043136,Technology,Semiconductors
GSHD,"Goosehead Insurance, Inc.",2532916224,Financial Services,Insurance Brokers
VICR,Vicor Corporation,2532098816,Technology,Electronic Components
BHFAP,"Brighthouse Financial, Inc. - D",2531720192,Financial Services,Insurance - Life
ADPT,Adaptive Biotechnologies Corpor,2529270016,Healthcare,Biotechnology
ALRM,"Alarm.com Holdings, Inc.",2524695552,Technology,Software - Application
NUKKW,Nukkleus Inc.,2523998720,Technology,Software - Application
PENN,"PENN Entertainment, Inc.",2516391424,Consumer Cyclical,Resorts & Casinos
IDYA,"IDEAYA Biosciences, Inc.",2511868160,Healthcare,Biotechnology
FA,First Advantage Corporation,2503724288,Industrials,Specialty Business Services
FRPT,"Freshpet, Inc.",2486066176,Consumer Defensive,Packaged Foods
ACMR,"ACM Research, Inc.",2466474496,Technology,Semiconductor Equipment & Materials
XMTR,"Xometry, Inc.",2461083136,Industrials,Industrial Distribution
OCUL,"Ocular Therapeutix, Inc.",2445374976,Healthcare,Biotechnology
SMPL,The Simply Good Foods Company,2441147648,Consumer Defensive,Packaged Foods
IBRX,"ImmunityBio, Inc.",2419851776,Healthcare,Biotechnology
SEDG,"SolarEdge Technologies, Inc.",2414179072,Technology,Solar
FFBC,First Financial Bancorp.,2405297408,Financial Services,Banks - Regional
SPNS,Sapiens International Corporati,2405124864,Technology,Software - Application
CHEF,"The Chefs' Warehouse, Inc.",2402143232,Consumer Defensive,Food Distribution
CRML,Critical Metals Corp.,2397773824,Basic Materials,Other Industrial Metals & Mining
WBTN,WEBTOON Entertainment Inc.,2383600896,Communication Services,Internet Content & Information
DNLI,Denali Therapeutics Inc.,2383259904,Healthcare,Biotechnology
ALKT,"Alkami Technology, Inc.",2380381440,Technology,Software - Application
AGIO,"Agios Pharmaceuticals, Inc.",2366475008,Healthcare,Biotechnology
TVTX,"Travere Therapeutics, Inc.",2355935232,Healthcare,Biotechnology
PAX,Patria Investments Limited,2347354112,Financial Services,Asset Management
TRMK,Trustmark Corporation,2342222848,Financial Services,Banks - Regional
MRX,Marex Group plc,2342145536,Financial Services,Capital Markets
MESO,Mesoblast Limited,2313984512,Healthcare,Biotechnology
DYN,"Dyne Therapeutics, Inc.",2302538496,Healthcare,Biotechnology
PINC,"Premier, Inc.",2297790208,Healthcare,Health Information Services
PRDO,Perdoceo Education Corporation,2289281792,Consumer Defensive,Education & Training Services
SRPT,"Sarepta Therapeutics, Inc.",2288651776,Healthcare,Biotechnology
GLPG,Galapagos NV,2282518272,Healthcare,Biotechnology
WAFD,"WaFd, Inc.",2268423424,Financial Services,Banks - Regional
COGT,"Cogent Biosciences, Inc.",2263851520,Healthcare,Biotechnology
UPWK,Upwork Inc.,2250333440,Communication Services,Internet Content & Information
